icb_code,testing_period,cv_number,ibes,lgbm_ex_fwd,lgbm_in_fwd,len,industry_group_name
999999,2015-12-31 00:00:00,all,0.015693453555249624,0.013181621524102426,0.013772643480363344,4090.0,
651010,2016-12-31 00:00:00,all,0.019321921374140287,0.018040187150650908,0.018221921146097907,480.0,Electricity
502050,2016-12-31 00:00:00,all,0.014775828863965803,0.011759290057765267,0.013208957213121894,540.0,Ind. Services
302020,2016-12-31 00:00:00,all,0.015888369944218765,0.014291070824728948,0.01461371147581563,740.0,Finance Services
201030,2016-12-31 00:00:00,all,0.011695173977040181,0.0105752292538572,0.011066863792819692,820.0,Pharma-Biotech
552010,2016-12-31 00:00:00,all,0.034141158740829555,0.027284068877831014,0.029160429255817532,640.0,Chem
351020,2016-12-31 00:00:00,all,0.013560976377876332,0.013094724119998865,0.012921085124404624,580.0,REIT
502060,2016-12-31 00:00:00,all,0.015616606317924473,0.012922453182705641,0.013733162997568457,570.0,Ind. Transport
502030,2016-12-31 00:00:00,all,0.028767796964579196,0.02319003547227598,0.024523698490081288,410.0,Industrials
301010,2016-12-31 00:00:00,all,0.007240389675155496,0.00572550477213225,0.0063205425127903095,4880.0,Banks
601010,2016-12-31 00:00:00,all,0.02848902585357996,0.02061198176256016,0.021932736436632506,2120.0,Energy
101010,2016-12-31 00:00:00,all,0.015031490607412913,0.012216329783354362,0.012043675430736698,530.0,Software and Comp Serv
501010,2016-12-31 00:00:00,all,0.009893488180234467,0.012893673692488077,0.012741315137023439,590.0,Construction
401010,2016-12-31 00:00:00,all,0.034162281467672695,0.031398169773533754,0.03138885312678304,500.0,Auto
101020,2016-12-31 00:00:00,all,0.015770298237702075,0.017183001587141304,0.018196916143067707,850.0,Tech Equip.
999999,2016-12-31 00:00:00,all,0.023620991771212674,0.01894459107403174,0.020103689130759158,6730.0,
502050,2015-03-31 00:00:00,all,0.010258773020201223,0.00923305340279174,0.00949047415306561,270.0,Ind. Services
302020,2015-03-31 00:00:00,all,0.012209595174699946,0.01118984909037336,0.01217841075353794,390.0,Finance Services
201030,2015-03-31 00:00:00,all,0.00885967851736854,0.009175606229528304,0.00973284484237831,400.0,Pharma-Biotech
552010,2015-03-31 00:00:00,all,0.01984753885542636,0.01775528467437232,0.01775145043642486,310.0,Chem
351020,2015-03-31 00:00:00,all,0.015819450907492212,0.013707426411827896,0.01363240211071055,260.0,REIT
502060,2015-03-31 00:00:00,all,0.013100810909000263,0.009550672763714095,0.00957765300462318,310.0,Ind. Transport
502030,2015-03-31 00:00:00,all,0.010546267691230626,0.009534899916448973,0.008955752353730318,210.0,Industrials
301010,2015-03-31 00:00:00,all,0.008162663138132836,0.006920155332863711,0.00838488626201103,2260.0,Banks
601010,2015-03-31 00:00:00,all,0.022570881938656764,0.023197951349174815,0.02523381052325979,1090.0,Energy
101010,2015-03-31 00:00:00,all,0.009558914538629235,0.009757405871340111,0.010334433199631142,310.0,Software and Comp Serv
501010,2015-03-31 00:00:00,all,0.01854402372318302,0.015636619480938474,0.017136543944178833,310.0,Construction
201020,2015-03-31 00:00:00,all,0.009089083356050336,0.008214598013174416,0.007627130753861424,300.0,Medical
401010,2015-03-31 00:00:00,all,0.01979182401702492,0.02010341266870555,0.020806944370454897,290.0,Auto
101020,2015-03-31 00:00:00,all,0.016443745293302146,0.013316218316355809,0.014180384447894942,510.0,Tech Equip.
999999,2015-03-31 00:00:00,all,0.01308437128561784,0.011359863339403519,0.01152628733604886,3560.0,
651010,2018-06-30 00:00:00,all,0.02449119841882873,0.020110166202413883,0.01957185029157135,480.0,Electricity
502050,2018-06-30 00:00:00,all,0.014691261294098956,0.013849530446773449,0.014176007925069943,540.0,Ind. Services
302020,2018-06-30 00:00:00,all,0.015145752508920854,0.01700955462131267,0.018163192739716158,660.0,Finance Services
201030,2018-06-30 00:00:00,all,0.016718479838664656,0.014460481292043394,0.014309966340064912,780.0,Pharma-Biotech
552010,2018-06-30 00:00:00,all,0.0322860336067455,0.020901549774486057,0.02042041620663421,740.0,Chem
351020,2018-06-30 00:00:00,all,0.012135589130690561,0.01284268152431576,0.01236647364198086,600.0,REIT
502060,2018-06-30 00:00:00,all,0.02243109617043258,0.016797409652156776,0.017014880164665503,580.0,Ind. Transport
502030,2018-06-30 00:00:00,all,0.02954435595867307,0.020132732777262734,0.020901552991697454,390.0,Industrials
301010,2018-06-30 00:00:00,all,0.0036623956525916232,0.004976403366212411,0.004874925077628644,4640.0,Banks
601010,2018-06-30 00:00:00,all,0.018639838773519372,0.012070359376148757,0.012754680350471004,2320.0,Energy
101010,2018-06-30 00:00:00,all,0.015092416963165822,0.014166648308431052,0.014346906880451591,580.0,Software and Comp Serv
