,train_valid,valid_test
20150630_502030,0.05923211323119429,0.24616441083806515
20150630_301010,0.7569998628784594,-0.2338106860910626
20150630_601010,0.40247261997155753,0.25409724002368916
20150630_101010,-0.2700847964522076,0.27374859086133346
20150630_501010,-0.04029176587489225,0.08164784922556842
20150630_201020,-0.08309340787261932,0.175023854527093
20150630_401010,-0.2877985362653312,0.03993159047673847
20150630_101020,0.38309536479110556,0.6151507957529648
20190331_651010,-0.16966990496540207,-0.07500125262343148
20190331_502050,0.017468105462151086,0.07272151019186272
20190331_302020,0.061309428075531504,0.3439640409468629
20190331_201030,-0.13232718838042062,0.06520302150726677
20190331_552010,0.25146985393638144,0.5468585974321185
20190331_351020,0.0601097732970978,0.32533146557220377
20190331_502060,-0.191958975108916,-0.24982788938255626
20190331_502030,0.0028894170996831606,0.36252419426534277
20190331_301010,0.5329920440851971,0.15034466520901552
20190331_601010,0.24033833752998215,-0.11671472894421009
20190331_101010,-0.12713123953020314,0.12668227745124638
20190331_501010,-0.1283097836580354,-0.34460353572242347
20190331_201020,-0.08814360552015599,0.16020739042235776
20190331_401010,-0.22084950687097776,0.3338233630977703
20190331_101020,0.31806474229328374,0.18202170727244515
20140930_651010,-0.08026123552757007,0.3360467049685149
20140930_502050,0.0373981677313869,-0.35453539731825134
20140930_302020,0.20269141973221474,0.3651679386053917
20140930_201030,0.009110066164754831,0.3954110201060541
20140930_552010,0.33492197207095115,0.4457754181883665
20140930_351020,0.19319185392622376,0.3934385355129547
20140930_502060,0.23844195550984265,0.15561244818743603
20140930_502030,0.17783508904513187,0.2977832369272131
20140930_301010,0.6870359924841508,0.6021237540191938
20140930_601010,0.23582416876430767,0.1967367405285594
20140930_101010,-0.04196393901969561,0.030112193405609264
20140930_501010,-0.006688520911540701,0.2819900439851504
20140930_201020,,
20140930_401010,-0.17239451622356222,0.1459044245434358
20140930_101020,0.04629182424259047,0.35088952511904226
20171231_651010,0.11126318024913848,0.2325726682599548
20171231_502050,-0.20803025292919025,-0.03580473997506938
20171231_302020,0.528260763151164,0.2590851571581113
20171231_201030,0.25697488232624993,0.4523765675336967
20171231_552010,0.4952104271372263,0.14562741600989712
20171231_351020,0.06660680836719228,0.3338004917814115
20171231_502060,0.3831763175342439,-0.3434440440119423
20171231_502030,-0.0862377807704325,0.5387617853255582
20171231_301010,0.6564726037612791,0.6517426035158536
20171231_601010,-0.09292829976439106,0.18711333526230586
20171231_101010,-0.2394809306530392,0.08909143698899318
20171231_501010,-0.18079928117181315,-0.07810466515114739
20171231_201020,0.7252412556051904,0.8796751297228947
20171231_401010,-0.2159496937410378,-0.07030455380171634
20171231_101020,0.37463487873169815,0.5680756396050893
20170930_651010,0.10639205521560267,0.47508434358416046
20170930_502050,-0.09229692761435762,0.10609931921508092
20170930_302020,0.6376356481643033,0.6317406942938849
20170930_201030,-0.19368486508776986,0.005915747070102989
20170930_552010,-0.08132476280954952,0.23844848292459778
20170930_351020,-0.13014096247155846,-0.06914356668794756
20170930_502060,0.21613935510738824,0.18095005145908427
20170930_502030,0.31917594189859966,0.5425071082637507
20170930_301010,0.19917367349264053,0.2827612048107687
20170930_601010,0.5768717468572864,0.7788975846002313
20170930_101010,-0.24192983754521885,-0.10227328976882534
20170930_501010,0.23991542188960163,0.2653755419513776
20170930_201020,0.28525060064421875,0.47816238081921614
20170930_401010,-0.23678866889488132,-0.0060501200375871105
20170930_101020,-0.07615138954366232,0.23282358845731171
20161231_651010,0.27912831116056536,0.48077131438726417
20161231_502050,-0.26109023590451974,0.30007981644410125
20161231_302020,0.8063214318208439,0.031596825195226524
20161231_201030,-0.135296105400153,0.21071791702826304
20161231_552010,0.31077932470843334,0.5881398230194069
20161231_351020,0.29239932134789987,0.49998458420177505
20161231_502060,0.33779092303946395,0.3292899896226805
20161231_502030,0.21075661733376605,0.40107136260669984
20161231_301010,0.2889602353922389,0.49221790737662474
20161231_601010,0.8743984649284867,0.8375447181425814
20161231_101010,-0.23399868406953583,-0.013473396490979696
20161231_501010,0.012105410225058259,0.27508581432454615
20161231_201020,,
20161231_401010,-0.3418679388619105,0.15991012746814223
20161231_101020,-0.09375025018210538,0.0889709581447907
20130930_651010,-0.08969678464627347,0.17906030841929046
20130930_502050,-0.008138156646339479,-0.0656418390466638
20130930_302020,0.3140399337693609,0.09050369978811343
20130930_201030,-0.2370509718428576,0.23677747437270977
20130930_552010,0.43348742793863093,0.02653680945769947
20130930_351020,0.1473185968418114,0.3418613257132267
20130930_502060,0.2267455684877875,0.24298963410156174
20130930_502030,0.43905535158403197,0.3758652853960453
20130930_301010,0.5445494916498458,0.6715001782548055
20130930_601010,,
20130930_101010,0.12599270359254033,0.46141186065132994
20130930_501010,-0.16035958260880526,0.14143453408309548
20130930_201020,0.14173274235853206,0.3793005731176681
20130930_401010,0.059116580487242706,0.3719753542569259
20130930_101020,0.3433366959618311,0.559287967583775
