,train_valid,valid_test,>0,>0.5,,
20180331_401010,0.058327081,-0.074342701,FALSE,FALSE,,
20190331_651010,-0.169669905,-0.075001253,FALSE,FALSE,,
20171231_501010,-0.180799281,-0.078104665,FALSE,FALSE,,
20130331_201030,-0.016333173,-0.08046088,FALSE,FALSE,,
20141231_502050,-0.19626772,-0.082372807,FALSE,FALSE,,
20131231_502050,-0.388940855,-0.084019202,FALSE,FALSE,,
20180331_601010,0.657065501,-0.087169867,FALSE,FALSE,,
20140630_651010,-0.140063955,-0.0893731,FALSE,FALSE,,
20150930_651010,-0.176117851,-0.09522696,FALSE,FALSE,,
20130331_351020,0.068552432,-0.097349999,FALSE,FALSE,,
20140630_601010,0.059990828,-0.099862061,FALSE,FALSE,,
20170930_101010,-0.241929838,-0.10227329,FALSE,FALSE,,
20170630_552010,-0.090108695,-0.11124566,FALSE,FALSE,,
20170331_502050,-0.028273621,-0.11222388,FALSE,FALSE,,
20190331_601010,0.240338338,-0.116714729,FALSE,FALSE,,
20170630_501010,0.048267818,-0.133260647,FALSE,FALSE,,
20150331_502030,-0.032335234,-0.137577998,FALSE,FALSE,,
20130630_502030,-0.242338179,-0.139440974,FALSE,FALSE,,
20180331_201030,-0.303149521,-0.139589232,FALSE,FALSE,,
20130630_351020,-0.206705714,-0.143988501,FALSE,FALSE,,
20160630_502050,-0.345664273,-0.146464082,FALSE,FALSE,,
20141231_401010,-0.25268097,-0.150697715,FALSE,FALSE,,
20130331_201020,-0.227753816,-0.153998184,FALSE,FALSE,,
20180630_101010,-0.462810858,-0.180067167,FALSE,FALSE,,
20140331_201030,-0.336982853,-0.182656175,FALSE,FALSE,,
20180930_351020,-0.39895114,-0.213526759,FALSE,FALSE,,
20151231_502050,0.006891771,-0.228234857,FALSE,FALSE,,
20150331_601010,0.114864113,-0.230793102,FALSE,FALSE,,
20150630_301010,0.756999863,-0.233810686,FALSE,FALSE,,
20180331_502030,0.171492018,-0.249759985,FALSE,FALSE,,
20190331_502060,-0.191958975,-0.249827889,FALSE,FALSE,,
20130331_601010,-0.065972244,-0.273229959,FALSE,FALSE,,
20141231_101010,-0.398462205,-0.275687315,FALSE,FALSE,,
20140630_502050,-0.325827217,-0.303557161,FALSE,FALSE,,
20140630_502030,0.136269454,-0.316966931,FALSE,FALSE,,
20150930_301010,0.507624542,-0.318993824,FALSE,FALSE,,
20131231_101010,-0.289011585,-0.326547896,FALSE,FALSE,,
20180331_302020,0.724737952,-0.330049,FALSE,FALSE,,
20171231_502060,0.383176318,-0.343444044,FALSE,FALSE,,
